frequency_ghz,cold_load,hot_load
0.000000000,650393571.117222190,657425341.538333297
0.000244141,746231070.273888946,753404198.591111064
0.000488281,2083146400.303888798,2104217290.193888903
0.000732422,3819514295.134444237,3858738547.978333473
0.000976562,5635609927.032777786,5693798223.787221909
0.001220703,7507587767.847222328,7586081907.014444351
0.001464844,9326495575.879999161,9423982251.497777939
0.001708984,10945534953.523889542,11060697470.182777405
0.001953125,12369810040.895000458,12499123262.392221451
0.002197266,13608182046.519443512,13751871540.776111603
0.002441406,14643017583.372222900,14792743743.131111145
0.002685547,15459122373.063333511,15619237512.332777023
0.002929688,16054948855.668888092,16224703146.512222290
0.003173828,16450301748.947778702,16622293212.937778473
0.003417969,16664418795.979444504,16840085626.314443588
0.003662109,16728072210.372777939,16902705553.012222290
0.003906250,16655916058.109443665,16832900171.592777252
0.004150391,16483197929.626111984,16658715607.442222595
0.004394531,16219046159.347221375,16391098699.356111526
0.004638672,15893641375.967222214,16059788577.830554962
0.004882812,15515961875.632223129,15679611104.971111298
0.005126953,15102165204.351667404,15263118340.209444046
0.005371094,14661807798.770000458,14819843729.137777328
0.005615234,14210701898.342777252,14360684840.136110306
0.005859375,13745925500.037776947,13892388610.998888016
0.006103516,13278832547.328887939,13419045146.253334045
0.006347656,12814380353.915000916,12949738975.787776947
0.006591797,12368773996.395555496,12501576401.303888321
0.006835938,11923178173.920555115,12051049592.378889084
0.007080078,11491986219.863332748,11613171345.751111984
0.007324219,11068979476.479444504,11187911927.677221298
0.007568359,10661399753.268333435,10776070136.345556259
0.007812500,10254795319.165000916,10363915666.273332596
0.008056641,9884438651.676666260,9988044871.975555420
0.008300781,9516868690.718889236,9618466711.067222595
0.008544922,9166885384.485000610,9266027363.472778320
0.008789062,8830560890.179445267,8926372329.273332596
0.009033203,8510492438.238333702,8603057353.715000153
0.009277344,8201038766.560555458,8290747116.683888435
0.009521484,7907773979.154999733,7993105266.329999924
0.009765625,7624082433.819999695,7706283761.283888817
0.010009766,7355948483.563333511,7437350227.924444199
0.010253906,7098475470.089444160,7177078100.801666260
0.010498047,6852233414.502778053,6929081478.188333511
0.010742188,6617342944.572221756,6690173753.403888702
0.010986328,6391828446.761111259,6462475824.759444237
0.011230469,6175459341.417778015,6243988503.833333015
0.011474609,5969965498.922778130,6036361341.261111259
0.011718750,5773926965.978333473,5837086288.628333092
0.011962891,5586901034.388333321,5648055078.962222099
0.012207031,5405093424.941111565,5464255714.923889160
0.012451172,5234108857.244444847,5291964224.869444847
0.012695312,5065377052.109444618,5121052588.801666260
0.012939453,4904007257.172778130,4958151530.842222214
0.013183594,4749161554.563333511,4802034848.581110954
0.013427734,4602747597.772777557,4655338154.906666756
0.013671875,4459854207.372221947,4510521637.663888931
0.013916016,4324058829.118888855,4371973643.244999886
0.014160156,4192229316.773889065,4239341818.735000134
0.014404297,4065869814.024444580,4111565323.180555344
0.014648438,3945872780.339444637,3989756419.034999847
0.014892578,3829358031.190555573,3872056660.221111298
0.015136719,3717943122.525555611,3758895750.634444237
0.015380859,3610723270.079444408,3651172477.356666565
0.015625000,3499996732.271111012,3539359303.244444370
0.015869141,3406466900.479444504,3444326124.947777748
0.016113281,3308400262.396111012,3345862491.073888779
0.016357422,3215909505.882222176,3252704160.449444294
0.016601562,3129668811.223333359,3168544968.336111069
0.016845703,3043344432.525555611,3081285646.141110897
0.017089844,2959991904.925000191,2994312394.015555382
0.017333984,2881102554.983889103,2914752870.568333149
0.017578125,2806012921.253333569,2838989334.701111317
0.017822266,2736854669.943888664,2768766343.778333187
0.018066406,2669935126.251666546,2701171639.402777672
